duration_ms,explicit,genres,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
199760,f,['pop' 'rock'],21,0.822,0.813,0.302,0.000429,7.0,0.114,-8.263,0.0,0.0445,110.0,4.0,0.521
163866,f,['pop' 'rock'],22,0.686,0.798,0.453,0.000113,1.0,0.0985,-8.325,0.0,0.0317,107.0,4.0,0.395
59613,f,['pop' 'rock'],20,0.844,0.481,0.312,0.00743,10.0,0.274,-10.059,1.0,0.0431,120.0,4.0,0.867
192133,f,['pop' 'rock'],35,0.885,0.733,0.405,0.000132,10.0,0.116,-8.39,1.0,0.0454,95.0,4.0,0.361
152133,f,['pop' 'rock'],21,0.897,0.691,0.565,0.105,0.0,0.109,-10.635,1.0,0.0519,120.0,4.0,0.661
146600,f,['pop' 'rock'],45,0.294,0.766,0.308,0.329,0.0,0.0969,-9.561,1.0,0.105,136.0,4.0,0.634
64800,f,['pop' 'rock'],25,0.879,0.491,0.431,0.869,0.0,0.128,-8.462,1.0,0.0299,144.0,1.0,0.203
187240,t,['pop' 'rock'],21,0.392,0.681,0.539,0.111,0.0,0.0687,-5.9,1.0,0.0478,118.0,4.0,0.58
169386,f,['pop' 'rock'],28,0.792,0.701,0.479,0.78,0.0,0.0976,-8.235,1.0,0.158,174.0,4.0,0.611
172160,f,['pop' 'rock'],21,0.251,0.76,0.691,0.17,5.0,0.335,-4.87,1.0,0.0387,113.0,4.0,0.585
317404,t,['hip hop' 'pop' 'rap'],64,0.218,0.687,0.684,3.32e-05,1.0,0.118,-6.72,0.0,0.178,105.0,4.0,0.377
234448,t,['hip hop' 'pop' 'rap'],24,0.0827,0.738,0.825,9.5e-06,0.0,0.244,-5.893,1.0,0.351,120.0,4.0,0.535
235520,f,['pop' 'r&b'],33,0.000864,0.271,0.853,0.0154,1.0,0.326,-4.249,1.0,0.0613,175.0,4.0,0.135
295273,f,['pop' 'rock'],28,0.966,0.325,0.00722,1.03e-05,10.0,0.11,-26.397,1.0,0.0472,107.0,4.0,0.065
233901,t,['eletronic' 'hip hop'],88,0.0293,0.726,0.769,0.0101,6.0,0.104,-5.043,1.0,0.123,98.0,4.0,0.733
176098,t,['eletronic' 'hip hop'],39,0.153,0.676,0.576,0.000368,7.0,0.125,-7.669,0.0,0.0418,128.0,4.0,0.248
196117,t,['eletronic' 'hip hop'],37,0.000199,0.466,0.666,0.0195,1.0,0.0803,-6.77,1.0,0.169,114.0,5.0,0.337
